parish;votes_all;votes_wo_nonresidents;county;zone
Haderslev;63;63;Haderslev Østeramt;1
Gml. Haderslev;95;97;Haderslev Østeramt;1
Hammelev;92;96;Haderslev Østeramt;1
Vedsted;90;92;Haderslev Østeramt;1
Hoptrup;85;87;Haderslev Østeramt;1
Vilstrup;73;72;Haderslev Østeramt;1
Starup;89;90;Haderslev Østeramt;1
Grarup;96;98;Haderslev Østeramt;1
Halk;89;90;Haderslev Østeramt;1
Øsby;91;94;Haderslev Østeramt;1
Vonsbæk;94;98;Haderslev Østeramt;1
Aastrup;89;91;Haderslev Østeramt;1
Moltrup;95;97;Haderslev Østeramt;1
Bjerning;92;94;Haderslev Østeramt;1
Fjelstrup;94;95;Haderslev Østeramt;1
Aller;90;97;Haderslev Østeramt;1
Christiansfeld;67;75;Haderslev Østeramt;1
Tyrstrup;93;96;Haderslev Østeramt;1
Hjerndrup;91;96;Haderslev Østeramt;1
Magstrup;95;97;Haderslev Østeramt;1
Frørup;86;91;Haderslev Østeramt;1
Stepping;96;98;Haderslev Østeramt;1
Sommersted;83;86;Haderslev Østeramt;1
Oxenvad;85;82;Haderslev Østeramt;1
Jægerup;72;81;Haderslev Østeramt;1
Skrydstrup;93;94;Haderslev Østeramt;1
Nustrup;93;96;Haderslev Østeramt;1
Jels;84;87;Haderslev Vesteramt;1
Skodborg;90;94;Haderslev Vesteramt;1
Skrave;94;96;Haderslev Vesteramt;1
Lintrup;90;91;Haderslev Vesteramt;1
Hjerting;93;91;Haderslev Vesteramt;1
Rødding;89;90;Haderslev Vesteramt;1
Hygum;96;99;Haderslev Vesteramt;1
Føl;97;96;Haderslev Vesteramt;1
Gram;95;97;Haderslev Vesteramt;1
Ø. Lindet;96;98;Haderslev Vesteramt;1
Toftlund;81;85;Haderslev Vesteramt;1
Tirslund;97;98;Haderslev Vesteramt;1
Bevtoft;97;99;Haderslev Vesteramt;1
Agerskov;97;98;Haderslev Vesteramt;1
Branderup;93;92;Haderslev Vesteramt;1
Arrild;84;83;Haderslev Vesteramt;1
Højrup;79;79;Haderslev Vesteramt;1
Spandet;95;97;Haderslev Vesteramt;1
Roager;96;98;Haderslev Vesteramt;1
Hvidding;83;100;Haderslev Vesteramt;1
Rejsby;93;90;Haderslev Vesteramt;1
Vodder;95;97;Haderslev Vesteramt;1
Brøns;95;97;Haderslev Vesteramt;1
Skærbæk;86;89;Haderslev Vesteramt;1
Rømø;85;90;Tønder Nørreamt;1
Ballum;96;97;Tønder Nørreamt;1
Døstrup;95;96;Tønder Nørreamt;1
Mjolden;97;97;Tønder Nørreamt;1
Emmerlev;86;86;Tønder Nørreamt;1
Hjerpsted;87;94;Tønder Nørreamt;1
Skast;98;99;Tønder Nørreamt;1
Brede;98;99;Tønder Nørreamt;1
Randrup;94;95;Tønder Nørreamt;1
Visby;90;92;Tønder Nørreamt;1
Daler;83;87;Tønder Nørreamt;1
Møgeltønder;86;88;Tønder Nørreamt;1
Abild;65;66;Tønder Nørreamt;1
Tønder;23;27;Tønder Nørreamt;1
Tønder Landsogn;68;67;Tønder Nørreamt;1
Højer;27;31;Tønder Nørreamt;1
Højer Landsogn;38;45;Tønder Nørreamt;1
N. Lygum;62;59;Tønder Nørreamt;1
Lygumkl. Ldsgn.;82;83;Tønder Nørreamt;1
Lygumkloster;51;56;Tønder Nørreamt;1
Ubjerg;17;16;Tønder Nørreamt;1
Hostrup;51;58;Tønder Nørreamt;1
Højst;58;58;Tønder Nørreamt;1
Ravsted;60;64;Tønder Nørreamt;1
Bylderup;63;66;Tønder Nørreamt;1
Burkal;51;54;Tønder Nørreamt;1
Tinglev;43;47;Tønder Nørreamt;1
Aabenraa;45;48;Aabenraa Amt;1
Bedsted;75;73;Aabenraa Amt;1
Hellevad;68;69;Aabenraa Amt;1
Egvad;92;94;Aabenraa Amt;1
Ø. Lygum;83;84;Aabenraa Amt;1
Løjt;76;79;Aabenraa Amt;1
Ris;65;68;Aabenraa Amt;1
Hjortkær;78;80;Aabenraa Amt;1
Bjolderup;75;76;Aabenraa Amt;1
Uge;51;55;Aabenraa Amt;1
Ensted;79;84;Aabenraa Amt;1
Felsted;91;95;Aabenraa Amt;1
Varnæs;94;96;Aabenraa Amt;1
Asbøl, Graasteen;62;72;Aabenraa Amt;1
Rinkenæs;67;72;Aabenraa Amt;1
Kværs;81;84;Aabenraa Amt;1
Kliplev;80;84;Aabenraa Amt;1
Holbøl;68;72;Aabenraa Amt;1
Bov;57;64;Aabenraa Amt;1
Frøslev;58;67;Aabenraa Amt;1
Sønderborg;44;50;Sønderborg Amt;1
Ullerup;91;93;Sønderborg Amt;1
Saatrup;89;91;Sønderborg Amt;1
Nybol;93;97;Sønderborg Amt;1
Dybbol;91;95;Sønderborg Amt;1
Broager;78;85;Sønderborg Amt;1
Ulkebol;84;87;Sønderborg Amt;1
Horup;92;94;Sønderborg Amt;1
Kejnæs;97;99;Sønderborg Amt;1
Lysabild;90;94;Sønderborg Amt;1
Tandslet;91;92;Sønderborg Amt;1
Augustenborg;52;62;Sønderborg Amt;1
Ketting;82;86;Sønderborg Amt;1
Asserballe;95;97;Sønderborg Amt;1
Notmark;95;98;Sønderborg Amt;1
Egen;95;96;Sønderborg Amt;1
Svenstrup;95;97;Sønderborg Amt;1
Hagenbjærg;87;89;Sønderborg Amt;1
Oxbøl;85;89;Sønderborg Amt;1
Nordborg;61;69;Sønderborg Amt;1
Nordborg Ldsgn.;90;94;Sønderborg Amt;1
